Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-6798695,Neutrophil degranulation,,-19,9,14,30284,435,225,29,13,2.2,327|353|1265|2040|2495|2665|2950|3303|3312|3326|5036|5223|5701|5878|6282|6793|7879|8895|9535|10383|10890|23593|26578|51411|51552|51719|53916|55832|56954,APEH|APRT|CNN2|STOM|FTH1|GDI2|GSTP1|HSPA1A|HSPA8|HSP90AB1|PA2G4|PGAM1|PSMC2|RAB5C|S100A11|STK10|RAB7A|CPNE3|GMFG|TUBB4B|RAB10|HEBP2|OSTF1|BIN2|RAB14|CAB39|RAB4B|CAND1|NIT2,-14,down
GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-13,6.6,11,30284,512,225,25,11,2.1,637|961|998|2316|3303|3987|4478|5216|5305|5345|5515|5899|7122|7429|7879|8440|9647|10015|10096|10399|11315|22919|55832|147381|345456,BID|CD47|CDC42|FLNA|HSPA1A|LIMS1|MSN|PFN1|PIP4K2A|SERPINF2|PPP2CA|RALB|CLDN5|VIL1|RAB7A|NCK2|PPM1F|PDCD6IP|ACTR3|RACK1|PARK7|MAPRE1|CAND1|CBLN2|PFN3,-8.9,down
WikiPathways,27,WP3888,VEGFA VEGFR2 signaling,,-12,6.9,11,30284,432,225,22,9.8,2,813|998|1465|2060|2876|3303|3690|4627|5216|5226|5331|5515|5530|5777|6301|6921|7295|7531|8766|10399|10963|91624,CALU|CDC42|CSRP1|EPS15|GPX1|HSPA1A|ITGB3|MYH9|PFN1|PGD|PLCB3|PPP2CA|PPP3CA|PTPN6|SARS1|ELOC|TXN|YWHAE|RAB11A|RACK1|STIP1|NEXN,-7.9,down
Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-11,5.6,9.8,30284,605,225,25,11,2.1,392|396|397|2010|2040|3326|4627|4659|5216|6793|7531|7533|7534|7879|8440|8997|9352|10093|10096|10383|10672|10726|10963|22919|55968,ARHGAP1|ARHGDIA|ARHGDIB|EMD|STOM|HSP90AB1|MYH9|PPP1R12A|PFN1|STK10|YWHAE|YWHAH|YWHAZ|RAB7A|NCK2|KALRN|TXNL1|ARPC4|ACTR3|TUBB4B|GNA13|NUDC|STIP1|MAPRE1|NSFL1C,-7.6,down
KEGG Pathway,24,hsa04144,Endocytosis,,-11,9.1,11,30284,252,225,17,7.6,1.8,377|381|998|2060|3303|3312|5878|7456|7879|8766|10015|10093|10096|10890|30845|51652|58513,ARF3|ARF5|CDC42|EPS15|HSPA1A|HSPA8|RAB5C|WIPF1|RAB7A|RAB11A|PDCD6IP|ARPC4|ACTR3|RAB10|EHD3|CHMP3|EPS15L1,-7.5,down
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-11,5.4,9.6,30284,619,225,25,11,2.1,392|396|397|2010|2040|3326|4627|4659|5216|6793|7531|7533|7534|7879|8440|8997|9352|10093|10096|10383|10672|10726|10963|22919|55968,ARHGAP1|ARHGDIA|ARHGDIB|EMD|STOM|HSP90AB1|MYH9|PPP1R12A|PFN1|STK10|YWHAE|YWHAH|YWHAZ|RAB7A|NCK2|KALRN|TXNL1|ARPC4|ACTR3|TUBB4B|GNA13|NUDC|STIP1|MAPRE1|NSFL1C,-7.5,down
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-11,7.6,11,30284,335,225,19,8.4,1.9,308|1265|1465|2316|2876|2923|3611|3690|4627|5530|5777|6469|7094|10672|26509|51652|57175|80739|84959,ANXA5|CNN2|CSRP1|FLNA|GPX1|PDIA3|ILK|ITGB3|MYH9|PPP3CA|PTPN6|SHH|TLN1|GNA13|MYOF|CHMP3|CORO1B|MPIG6B|UBASH3B,-7.5,down
Reactome Gene Sets,6,R-HSA-199991,Membrane Trafficking,,-10,5.6,9.4,30284,553,225,23,10,2,377|381|1950|2495|2665|3312|4627|5878|7531|7533|7534|7879|8766|10093|10096|10383|10890|23011|27095|51552|51560|58513|81876,ARF3|ARF5|EGF|FTH1|GDI2|HSPA8|MYH9|RAB5C|YWHAE|YWHAH|YWHAZ|RAB7A|RAB11A|ARPC4|ACTR3|TUBB4B|RAB10|RAB21|TRAPPC3|RAB14|RAB6B|EPS15L1|RAB1B,-7.2,down
GO Biological Processes,19,GO:0070527,platelet aggregation,19_GO:0032501 multicellular organismal process,-10,25,15,30284,48,225,9,4,1.3,1465|2316|2923|3611|3690|4627|5777|7094|84959,CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|TLN1|UBASH3B,-6.9,down
Reactome Gene Sets,6,R-HSA-76002,"Platelet activation, signaling and aggregation",,-10,9.5,11,30284,213,225,15,6.7,1.7,308|1950|3690|3937|5216|5345|6813|7094|7534|7873|10235|10672|29789|80739|259215,ANXA5|EGF|ITGB3|LCP2|PFN1|SERPINF2|STXBP2|TLN1|YWHAZ|MANF|RASGRP2|GNA13|OLA1|MPIG6B|LY6G6F,-6.9,down
