Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007229,integrin-mediated signaling pathway,19_GO:0050896 response to stimulus,-5.6,42,13,30230,97,30,4,13,6.2,335|1015|3673|3678,APOA1|CDH17|ITGA2|ITGA5,-1.5,Up
Reactome Gene Sets,6,R-HSA-8964043,Plasma lipoprotein clearance,,-5.2,82,15,30230,37,30,3,10,5.5,335|341|7314,APOA1|APOC1|UBB,-1.5,Up
Reactome Gene Sets,6,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-5.2,32,11,30230,125,30,4,13,6.2,335|3484|3489|7018,APOA1|IGFBP1|IGFBP6|TF,-1.5,Up
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-5.1,12,8,30230,488,30,6,20,7.3,730|1015|1113|3251|28400|64218,C7|CDH17|CHGA|HPRT1|IGHV4-28|SEMA4A,-1.5,Up
Reactome Gene Sets,6,R-HSA-114608,Platelet degranulation,,-5.1,31,11,30230,129,30,4,13,6.2,335|5004|5919|7018,APOA1|ORM1|RARRES2|TF,-1.5,Up
Reactome Gene Sets,6,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,,-5,30,11,30230,134,30,4,13,6.2,335|5004|5919|7018,APOA1|ORM1|RARRES2|TF,-1.5,Up
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-4.8,16,8.4,30230,318,30,5,17,6.8,2192|3673|3678|5802|169044,FBLN1|ITGA2|ITGA5|PTPRS|COL22A1,-1.4,Up
GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-4.8,11,7.4,30230,556,30,6,20,7.3,1015|3673|3678|5802|5818|51294,CDH17|ITGA2|ITGA5|PTPRS|NECTIN1|PCDH12,-1.4,Up
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-4.5,9.7,6.9,30230,621,30,6,20,7.3,335|3673|3678|5004|5919|7018,APOA1|ITGA2|ITGA5|ORM1|RARRES2|TF,-1.2,Up
Reactome Gene Sets,6,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",,-4.2,40,11,30230,75,30,3,10,5.5,335|341|7314,APOA1|APOC1|UBB,-0.94,Up
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-4.2,8.4,6.3,30230,717,30,6,20,7.3,104|1015|3251|5818|7314|64218,ADARB1|CDH17|HPRT1|NECTIN1|UBB|SEMA4A,-0.94,Up
Reactome Gene Sets,6,R-HSA-6806834,Signaling by MET,,-4.2,38,10,30230,79,30,3,10,5.5,3673|7314|10048,ITGA2|UBB|RANBP9,-0.94,Up
GO Biological Processes,19,GO:0014823,response to activity,19_GO:0050896 response to stimulus,-4.2,38,10,30230,80,30,3,10,5.5,3673|3678|5919,ITGA2|ITGA5|RARRES2,-0.94,Up
WikiPathways,27,WP2806,Complement system,,-3.9,32,9.5,30230,95,30,3,10,5.5,335|730|3673,APOA1|C7|ITGA2,-0.85,Up
GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,19_GO:0032502 developmental process,-3.9,10,6.5,30230,496,30,5,17,6.8,104|3251|5818|7314|64218,ADARB1|HPRT1|NECTIN1|UBB|SEMA4A,-0.85,Up
GO Biological Processes,19,GO:0021954,central nervous system neuron development,19_GO:0032502 developmental process,-3.9,31,9.4,30230,96,30,3,10,5.5,104|3251|7314,ADARB1|HPRT1|UBB,-0.85,Up
GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-3.9,10,6.4,30230,501,30,5,17,6.8,104|3251|5818|7314|64218,ADARB1|HPRT1|NECTIN1|UBB|SEMA4A,-0.85,Up
Reactome Gene Sets,6,R-HSA-76002,"Platelet activation, signaling and aggregation",,-3.9,15,7.4,30230,262,30,4,13,6.2,335|5004|5919|7018,APOA1|ORM1|RARRES2|TF,-0.85,Up
GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-3.9,9.9,6.4,30230,508,30,5,17,6.8,104|3251|5818|7314|64218,ADARB1|HPRT1|NECTIN1|UBB|SEMA4A,-0.85,Up
GO Biological Processes,19,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19_GO:0002376 immune system process,-3.9,15,7.3,30230,266,30,4,13,6.2,730|3251|28400|64218,C7|HPRT1|IGHV4-28|SEMA4A,-0.85,Up
Canonical Pathways,11,M5884,NABA CORE MATRISOME,,-3.8,15,7.2,30230,275,30,4,13,6.2,2192|3484|3489|169044,FBLN1|IGFBP1|IGFBP6|COL22A1,-0.85,Up
GO Biological Processes,19,GO:0050829,defense response to Gram-negative bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.8,28,8.9,30230,107,30,3,10,5.5,1113|5544|5919,CHGA|PRB3|RARRES2,-0.85,Up
Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-3.8,9.4,6.2,30230,534,30,5,17,6.8,3673|3678|7314|10048|64218,ITGA2|ITGA5|UBB|RANBP9|SEMA4A,-0.85,Up
Reactome Gene Sets,6,R-HSA-8957275,Post-translational protein phosphorylation,,-3.8,28,8.9,30230,108,30,3,10,5.5,335|3484|7018,APOA1|IGFBP1|TF,-0.85,Up
GO Biological Processes,19,GO:0030198,extracellular matrix organization,19_GO:0009987 cellular process,-3.7,14,6.9,30230,291,30,4,13,6.2,2192|3673|27299|169044,FBLN1|ITGA2|ADAMDEC1|COL22A1,-0.85,Up
GO Biological Processes,19,GO:0043062,extracellular structure organization,19_GO:0009987 cellular process,-3.7,14,6.9,30230,292,30,4,13,6.2,2192|3673|27299|169044,FBLN1|ITGA2|ADAMDEC1|COL22A1,-0.85,Up
GO Biological Processes,19,GO:0046718,symbiont entry into host cell,19_GO:0016032 viral process,-3.7,27,8.6,30230,113,30,3,10,5.5,3673|3678|5818,ITGA2|ITGA5|NECTIN1,-0.85,Up
GO Biological Processes,19,GO:0044409,symbiont entry into host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.7,27,8.6,30230,113,30,3,10,5.5,3673|3678|5818,ITGA2|ITGA5|NECTIN1,-0.85,Up
GO Biological Processes,19,GO:0045229,external encapsulating structure organization,19_GO:0009987 cellular process,-3.7,14,6.9,30230,293,30,4,13,6.2,2192|3673|27299|169044,FBLN1|ITGA2|ADAMDEC1|COL22A1,-0.85,Up
