Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-23,3.7,13,21222,793,565,78,14,1.5,12505|12614|12778|12837|13609|13845|14160|14182|14268|14370|14461|14634|14645|14726|15227|15284|15370|15410|15530|16000|16007|16402|16776|16847|16911|16948|17313|18127|18128|18129|18131|18133|18187|18208|18514|18576|18654|19130|19317|19883|20254|20292|20353|20377|20692|21808|23892|24052|26903|50768|54409|54612|54710|57257|58234|59036|67888|71093|71461|75723|77446|80837|84004|94352|101401|106042|121021|192176|219033|223864|231532|237038|269152|270685|330267|380718|381157|381823,Cd44|Celsr1|Ackr3|Col8a1|S1pr1|Ephb3|Lgr5|Fgfr1|Fn1|Fzd8|Gata2|Gli3|Glul|Pdpn|Foxf1|Hlx|Nr4a1|Hoxb3|Hspg2|Igf1|Ccn1|Itga5|Lama5|Lepr|Lmo4|Lox|Mgp|Nos3|Notch1|Notch2|Notch3|Ccn3|Nrp2|Ntn1|Pbx1|Pde3b|Pgf|Prox1|Qki|Rora|Scg2|Ccl11|Sema4c|Sfrp1|Sparc|Tgfb2|Grem1|Sgcd|Dysf|Dlc1|Ramp2|Sfrp5|Hs3st3b1|Vav3|Shank3|Dact1|Tmem100|Atoh8|Ptk7|Amotl1|Heg1|Rhoj|Mcam|Loxl2|Adamts9|Prickle1|Cspg4|Flna|Ang4|Rapgef3|Arhgap24|Nox1|Kif26b|Mthfd1l|Thsd7a|Mks1|Greb1l|Apold1,-19,Down
Reactome Gene Sets,6,R-MMU-1462054,Alpha-defensins,,-23,22,20,21222,34,565,20,3.5,0.78,13226|13237|23855|66298|68009|382000|382059|503491|626708|634825|665927|665956|100038927|100041688|100041759|100041787|100041890|100041895|100041952|100862126,Defa31|Defa3|Defa17|Defa21|Defa20|Defa39|Defa22|Defa24|Defa26|Defa38|Defa42|Defa43|Defa30|Defa35|Defa41|Defa40|Defa32|Defa37|Defa34|Defa36,-19,Down
GO Biological Processes,19,GO:0051673,disruption of plasma membrane integrity in another organism,19_GO:0044419 biological process involved in interspecies interaction between organisms,-20,17,18,21222,43,565,20,3.5,0.78,13218|13226|13237|13239|23855|66298|68009|382000|382059|503491|626708|634825|665927|100038927|100041688|100041759|100041787|100041895|100041952|100294660,Defa29|Defa31|Defa3|Defa5|Defa17|Defa21|Defa20|Defa39|Defa22|Defa24|Defa26|Defa38|Defa42|Defa30|Defa35|Defa41|Defa40|Defa37|Defa34|Defa2,-16,Down
GO Biological Processes,19,GO:0140975,disruption of cellular anatomical structure in another organism,19_GO:0044419 biological process involved in interspecies interaction between organisms,-20,17,18,21222,43,565,20,3.5,0.78,13218|13226|13237|13239|23855|66298|68009|382000|382059|503491|626708|634825|665927|100038927|100041688|100041759|100041787|100041895|100041952|100294660,Defa29|Defa31|Defa3|Defa5|Defa17|Defa21|Defa20|Defa39|Defa22|Defa24|Defa26|Defa38|Defa42|Defa30|Defa35|Defa41|Defa40|Defa37|Defa34|Defa2,-16,Down
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-18,3.7,11,21222,646,565,63,11,1.3,12778|12837|13609|13653|13845|14182|14268|14370|14461|14612|14634|14645|14726|15227|15370|15410|15530|16000|16007|16402|16523|16847|16948|18127|18128|18129|18131|18133|18187|18576|18654|19130|19317|19883|20254|21808|23892|24046|24052|26903|54409|57257|64817|67888|69538|71461|75723|77446|77579|80837|84004|94352|101401|106042|121021|192176|219033|223864|231532|237038|268902|330267|381823,Ackr3|Col8a1|S1pr1|Egr1|Ephb3|Fgfr1|Fn1|Fzd8|Gata2|Gja4|Gli3|Glul|Pdpn|Foxf1|Nr4a1|Hoxb3|Hspg2|Igf1|Ccn1|Itga5|Kcnj8|Lepr|Lox|Nos3|Notch1|Notch2|Notch3|Ccn3|Nrp2|Pde3b|Pgf|Prox1|Qki|Rora|Scg2|Tgfb2|Grem1|Scn11a|Sgcd|Dysf|Ramp2|Vav3|Svep1|Tmem100|Antxr1|Ptk7|Amotl1|Heg1|Myh10|Rhoj|Mcam|Loxl2|Adamts9|Prickle1|Cspg4|Flna|Ang4|Rapgef3|Arhgap24|Nox1|Robo2|Thsd7a|Apold1,-15,Down
Reactome Gene Sets,6,R-MMU-1461973,Defensins,,-18,15,16,21222,51,565,20,3.5,0.78,13226|13237|23855|66298|68009|382000|382059|503491|626708|634825|665927|665956|100038927|100041688|100041759|100041787|100041890|100041895|100041952|100862126,Defa31|Defa3|Defa17|Defa21|Defa20|Defa39|Defa22|Defa24|Defa26|Defa38|Defa42|Defa43|Defa30|Defa35|Defa41|Defa40|Defa32|Defa37|Defa34|Defa36,-15,Down
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-18,3.7,11,21222,604,565,60,11,1.3,12778|12837|13609|13653|13845|14182|14268|14370|14461|14612|14634|14645|15227|15370|15410|15530|16007|16402|16523|16847|16948|18127|18128|18129|18131|18133|18187|18576|18654|19130|19317|19883|20254|21808|23892|24046|24052|26903|54409|57257|67888|69538|71461|75723|77446|77579|80837|84004|94352|101401|106042|121021|192176|219033|223864|231532|237038|268902|330267|381823,Ackr3|Col8a1|S1pr1|Egr1|Ephb3|Fgfr1|Fn1|Fzd8|Gata2|Gja4|Gli3|Glul|Foxf1|Nr4a1|Hoxb3|Hspg2|Ccn1|Itga5|Kcnj8|Lepr|Lox|Nos3|Notch1|Notch2|Notch3|Ccn3|Nrp2|Pde3b|Pgf|Prox1|Qki|Rora|Scg2|Tgfb2|Grem1|Scn11a|Sgcd|Dysf|Ramp2|Vav3|Tmem100|Antxr1|Ptk7|Amotl1|Heg1|Myh10|Rhoj|Mcam|Loxl2|Adamts9|Prickle1|Cspg4|Flna|Ang4|Rapgef3|Arhgap24|Nox1|Robo2|Thsd7a|Apold1,-14,Down
KEGG Pathway,24,mmu05150,Staphylococcus aureus infection - Mus musculus (house mouse),,-16,7.9,13,21222,128,565,27,4.8,0.9,12268|13218|13226|13237|13239|15894|20344|23855|66298|68009|382000|382059|503491|626708|634825|665927|665956|100038927|100041688|100041759|100041787|100041890|100041895|100041952|100294660|100505096|100862126,C4b|Defa29|Defa31|Defa3|Defa5|Icam1|Selp|Defa17|Defa21|Defa20|Defa39|Defa22|Defa24|Defa26|Defa38|Defa42|Defa43|Defa30|Defa35|Defa41|Defa40|Defa32|Defa37|Defa34|Defa2|Defa33|Defa36,-13,Down
Reactome Gene Sets,6,R-MMU-6803157,Antimicrobial peptides,,-16,9.7,14,21222,89,565,23,4.1,0.83,13226|13237|16429|16819|18780|23855|66298|68009|382000|382059|503491|626708|634825|665927|665956|100038927|100041688|100041759|100041787|100041890|100041895|100041952|100862126,Defa31|Defa3|Itln1|Lcn2|Pla2g2a|Defa17|Defa21|Defa20|Defa39|Defa22|Defa24|Defa26|Defa38|Defa42|Defa43|Defa30|Defa35|Defa41|Defa40|Defa32|Defa37|Defa34|Defa36,-13,Down
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-16,3.9,11,21222,486,565,50,8.8,1.2,12778|12837|13609|13845|14182|14268|14370|14461|14645|15227|15370|15410|15530|16007|16402|16847|16948|18127|18128|18129|18131|18133|18187|18576|18654|19130|19317|19883|20254|21808|23892|24052|26903|54409|57257|67888|75723|77446|80837|84004|94352|101401|121021|192176|219033|223864|231532|237038|330267|381823,Ackr3|Col8a1|S1pr1|Ephb3|Fgfr1|Fn1|Fzd8|Gata2|Glul|Foxf1|Nr4a1|Hoxb3|Hspg2|Ccn1|Itga5|Lepr|Lox|Nos3|Notch1|Notch2|Notch3|Ccn3|Nrp2|Pde3b|Pgf|Prox1|Qki|Rora|Scg2|Tgfb2|Grem1|Sgcd|Dysf|Ramp2|Vav3|Tmem100|Amotl1|Heg1|Rhoj|Mcam|Loxl2|Adamts9|Cspg4|Flna|Ang4|Rapgef3|Arhgap24|Nox1|Thsd7a|Apold1,-12,Down
